True Solar,True Wind,Predicted Solar,Predicted Wind
0.48278576,0.07997046,0.5192146,0.07443088
0.45701998,0.08355577,0.4984819,0.07211703
0.430439,0.0777962,0.47692183,0.06919429
0.40287226,0.08656719,0.45480356,0.06598102
0.37568474,0.09857205,0.43086874,0.064671524
0.346649,0.089313194,0.39726675,0.068476215
0.31667927,0.08482217,0.3701974,0.068428084
0.28580475,0.08456927,0.34408247,0.067347854
0.25448915,0.088310815,0.31733045,0.065685324
0.22269581,0.07902199,0.29066592,0.06483391
0.18980323,0.082709804,0.26465884,0.06187784
0.15824467,0.062392045,0.23582825,0.058387335
0.12768632,0.061422057,0.2072777,0.051433686
0.09894025,0.04670437,0.1785351,0.04438739
0.073254175,0.039062,0.14839944,0.036321092
0.051121276,0.038279075,0.12193573,0.027730344
0.033828553,0.029619098,0.09752211,0.020080391
0.022410724,0.022787644,0.07352761,0.011783345
0.017152768,0.018790418,0.050363783,0.008238163
0.011339857,0.016094938,0.032518256,0.0054938807
0.0018763875,0.012153365,0.016412837,0.0033471575
0.0,0.009197599,0.006669877,0.0023378755
0.0,0.0061592543,0.00026329706,0.0017975079
0.0,0.005044693,-0.0035545381,0.001363452
0.0,0.0034077198,-0.00344214,0.0009076008
0.0,0.003114313,-0.002741153,1.6872236e-05
0.0,0.0020717806,-0.0022237974,-0.00026951052
0.0,0.0015488216,-0.001746495,-0.0006362452
0.0,0.0011819021,-0.0016453473,-0.00072496705
0.0,0.0012154917,-0.0017032259,-0.0007392382
0.0,0.0011230396,-0.0021235687,-0.00039214315
0.0,0.0011276212,-0.0025355294,-0.00020255121
0.0,0.001017607,-0.002640806,-0.00032875876
0.0,0.0010846087,-0.0030326503,-0.00023610407
0.0,0.001091756,-0.003424805,-0.0001852298
0.0,0.0009851296,-0.0037912428,-0.00019910239
0.0,0.001036943,-0.004050138,-0.00024935033
0.0,0.00101206,-0.004242586,-0.00031399957
0.0,0.001084884,-0.0043739644,-0.00033288272
0.0,0.0009219684,-0.0045614457,-0.0003508467
0.0,0.0009180465,-0.004755906,-0.0003996183
0.0,0.0008576987,-0.0049167946,-0.00046425534
0.0,0.0010305597,-0.0050502717,-0.0005315685
0.0,0.0010143277,-0.005164793,-0.0005946559
0.0,0.0009874569,-0.005168345,-0.0006246013
0.0,0.0010474031,-0.005252884,-0.0006175125
0.0,0.000963754,-0.00541792,-0.000619969
0.0,0.0012033208,-0.005545039,-0.00064228877
0.0,0.0013725967,-0.005910211,-0.00043173143
0.0,0.0013988405,-0.0061068498,-0.000382484
0.0,0.0011490186,-0.0061425255,-0.00043978007
0.0,0.0011458858,-0.0061981007,-0.00048149133
0.0,0.0012664228,-0.0062829503,-0.0005084434
0.0,0.0012744478,-0.0063242763,-0.0005297424
0.0,0.0012543442,-0.006330752,-0.00054128043
0.0,0.0011913381,-0.0063120695,-0.0005405321
0.0,0.0014693963,-0.006366527,-0.00045610504
0.0,0.0015801126,-0.006702281,-0.00017768957
0.0,0.0016566992,-0.0067029204,-0.00019959449
0.0,0.0014670293,-0.0066379453,-0.0002509283
0.0,0.001536533,-0.006501482,-0.0002808697
0.0,0.0016516263,-0.0063595795,-0.00027950318
0.0,0.0014891468,-0.0062255934,-0.00027936487
0.0,0.0015115369,-0.006030593,-0.00027149927
0.0,0.0015190894,-0.0057837125,-0.00023904044
0.0,0.0014882958,-0.005561443,-0.00018324917
0.0,0.0014168837,-0.0053274394,-0.000117599455
0.0,0.0016813956,-0.005082228,-4.6878184e-05
0.0,0.0016009468,-0.0049953857,-1.11250765e-05
0.0,0.0015136322,-0.0047645792,8.681273e-06
0.0,0.001372508,-0.004449923,5.4309083e-05
0.0,0.0013607393,-0.0041787224,0.000121439196
0.0,0.0015254188,-0.0038685363,0.00020013182
0.0,0.001553136,-0.0035725685,0.00029048862
0.0,0.0014528631,-0.0034244263,0.00032067805
0.0,0.0012262209,-0.0031043373,0.00034493778
0.0,0.0010007388,-0.0024725099,0.00017383858
0.0,0.0011788948,-0.0019667712,0.00020521558
0.0,0.0012849858,-0.0015231393,0.0004140241
0.0,0.0011828311,-0.0011054788,0.0006389055
0.0,0.00097573333,-0.00077783363,0.0007031033
0.0,0.0009967565,-1.0685364e-05,0.00055421813
0.0026348012,0.0008949893,0.004905948,0.00037032407
0.01268858,0.0010015742,0.012968232,-0.00026964067
0.019054605,0.0010858299,0.024626063,-0.0010813716
0.025201712,0.0012560147,0.045128524,-0.0024249335
0.037158977,0.0011282018,0.066704854,-0.004088427
0.055429146,0.0012126706,0.09210754,-0.004686453
0.07817315,0.0014854923,0.1192048,-0.0057851807
0.09141958,0.0015452973,0.15043911,-0.006502114
0.12659292,0.0019410328,0.12101037,-0.0043816464
0.12369823,0.0022061549,0.18480588,-0.003876751
0.15117376,0.002491388,0.13118887,-0.0027536456
0.21491712,0.0030688806,0.15928012,-0.002168134
0.20795777,0.004081027,0.27656224,-0.0020334835
