True Solar,True Wind,Predicted Mean Solar,Predicted Mean Wind,Predicted Std. Dev. Solar,Predicted Std. Dev. Wind
0.48278576,0.07997046,0.560684,0.06687782,0.09404103,0.057434406
0.45701998,0.08355577,0.5395013,0.065920316,0.09378238,0.05720978
0.430439,0.0777962,0.5171676,0.06459409,0.093554534,0.05680718
0.40287226,0.08656719,0.49379817,0.06305674,0.0930924,0.05629012
0.37568474,0.09857205,0.46819848,0.0629424,0.09215597,0.05646638
0.346649,0.089313194,0.43850842,0.06644595,0.09079885,0.0583641
0.31667927,0.08482217,0.41082516,0.06772187,0.08958966,0.05921573
0.28580475,0.08456927,0.38272884,0.06827246,0.08842153,0.05969878
0.25448915,0.088310815,0.35163963,0.0681529,0.08737487,0.060038004
0.22269581,0.07902199,0.32017064,0.06775956,0.086217284,0.06021989
0.18980323,0.082709804,0.28863195,0.064644486,0.08509591,0.059233412
0.15824467,0.062392045,0.2557902,0.060462624,0.084119834,0.05766941
0.12768632,0.061422057,0.2218749,0.05235544,0.082833454,0.053755287
0.09894025,0.04670437,0.18683857,0.04408451,0.081413485,0.048705697
0.073254175,0.039062,0.14841051,0.03570486,0.07917086,0.043068852
0.051121276,0.038279075,0.111744784,0.027980013,0.07557417,0.037336726
0.033828553,0.029619098,0.07858368,0.021863855,0.071250066,0.03241726
0.022410724,0.022787644,0.04904987,0.016261622,0.0661777,0.027869374
0.017152768,0.018790418,0.024748247,0.011661653,0.059728686,0.024701228
0.011339857,0.016094938,0.0074663404,0.008641345,0.05534381,0.023325372
0.0018763875,0.012153365,-0.0035082265,0.007286795,0.054118283,0.023167271
0.0,0.009197599,-0.009798997,0.006732155,0.053886216,0.023479985
0.0,0.0061592543,-0.013853773,0.0064751063,0.053826094,0.023770144
0.0,0.005044693,-0.016257076,0.0063376846,0.053688977,0.023967758
0.0,0.0034077198,-0.016027756,0.006301286,0.05348282,0.024039155
0.0,0.003114313,-0.015163847,0.006236258,0.05324187,0.0240314
0.0,0.0020717806,-0.01436429,0.006171559,0.053152002,0.023972083
0.0,0.0015488216,-0.013803658,0.0060430155,0.053110696,0.023902744
0.0,0.0011819021,-0.013561841,0.0059296526,0.053126607,0.023872616
0.0,0.0012154917,-0.013502408,0.0058219736,0.053187616,0.02386808
0.0,0.0011230396,-0.0136349015,0.005781468,0.05321391,0.023898743
0.0,0.0011276212,-0.013771015,0.0057679345,0.053228185,0.02393297
0.0,0.001017607,-0.013675523,0.005738146,0.05326856,0.023953976
0.0,0.0010846087,-0.013743988,0.005736576,0.053265464,0.02396788
0.0,0.001091756,-0.013912987,0.00574487,0.05324862,0.02398573
0.0,0.0009851296,-0.014115179,0.005758059,0.05322391,0.024003742
0.0,0.001036943,-0.014309104,0.0057724263,0.053199943,0.024022132
0.0,0.00101206,-0.014502782,0.005785655,0.053176817,0.024039358
0.0,0.001084884,-0.014470038,0.0058050426,0.053150494,0.024043016
0.0,0.0009219684,-0.014502514,0.0058198506,0.05313023,0.024047283
0.0,0.0009180465,-0.014661773,0.0058271345,0.05312105,0.024057662
0.0,0.0008576987,-0.014858182,0.005831073,0.05311793,0.02407204
0.0,0.0010305597,-0.015053054,0.0058341646,0.053117394,0.024085935
0.0,0.0010143277,-0.01523224,0.0058372063,0.053118028,0.024099244
0.0,0.0009874569,-0.0150500825,0.0058511896,0.05310951,0.024092326
0.0,0.0010474031,-0.014929446,0.005861724,0.05310202,0.024085823
0.0,0.000963754,-0.014997488,0.005863686,0.053100385,0.024088932
0.0,0.0012033208,-0.015116661,0.0058622,0.053100463,0.024096059
0.0,0.0013725967,-0.015316921,0.005897147,0.05307536,0.024110507
0.0,0.0013988405,-0.015408795,0.005934762,0.053053007,0.024124596
0.0,0.0011490186,-0.015115532,0.0059690718,0.05303329,0.0241156
0.0,0.0011458858,-0.01488274,0.005989254,0.053020954,0.02410308
0.0,0.0012664228,-0.014835655,0.005994313,0.053017214,0.024098033
0.0,0.0012744478,-0.014847386,0.005992034,0.053018235,0.02409648
0.0,0.0012543442,-0.014862556,0.005987239,0.053022817,0.02409471
0.0,0.0011913381,-0.014853617,0.005982712,0.053028736,0.024091939
0.0,0.0014693963,-0.014782903,0.005991796,0.053025518,0.024087468
0.0,0.0015801126,-0.014755963,0.0060417084,0.052996565,0.02409415
0.0,0.0016566992,-0.014613261,0.0060734963,0.052978586,0.024093077
0.0,0.0014670293,-0.014460837,0.006092158,0.05296638,0.024085108
0.0,0.001536533,-0.014299942,0.0061019827,0.05295851,0.02407463
0.0,0.0016516263,-0.0141435955,0.0061061466,0.05295393,0.02406283
0.0,0.0014891468,-0.014181174,0.0060991133,0.05295942,0.024061708
0.0,0.0015115369,-0.014149641,0.006093847,0.05296618,0.024057545
0.0,0.0015190894,-0.013972443,0.0060946215,0.05296709,0.024045056
0.0,0.0014882958,-0.013738681,0.0060983044,0.052968934,0.024027992
0.0,0.0014168837,-0.013468563,0.0061029154,0.052968692,0.024008129
0.0,0.0016813956,-0.013170975,0.0061074514,0.05297073,0.023985034
0.0,0.0016009468,-0.013177911,0.0060997223,0.052975968,0.023977295
0.0,0.0015136322,-0.0130811045,0.006096153,0.052981023,0.023966957
0.0,0.001372508,-0.012796592,0.0061012697,0.052987184,0.023945926
0.0,0.0013607393,-0.012447872,0.006109252,0.052998688,0.02392031
0.0,0.0015254188,-0.0120591195,0.0061174794,0.05300889,0.02389197
0.0,0.001553136,-0.011658259,0.006124413,0.05301902,0.023861658
0.0,0.0014528631,-0.011610266,0.006117553,0.05301959,0.023847258
0.0,0.0012262209,-0.011442639,0.0061145467,0.05302269,0.023830364
0.0,0.0010007388,-0.010992076,0.006074403,0.0530558,0.023796242
0.0,0.0011788948,-0.01052948,0.006033336,0.053096574,0.023757815
0.0,0.0012849858,-0.010057653,0.006011018,0.05314742,0.02373046
0.0,0.0011828311,-0.009557485,0.005997293,0.05320393,0.02370241
0.0,0.00097573333,-0.0093883285,0.005966276,0.053256515,0.023696443
0.0,0.0009967565,-0.0089215385,0.005893935,0.05337566,0.02368879
0.0026348012,0.0008949893,-0.0057297605,0.005794462,0.05378513,0.023576945
0.01268858,0.0010015742,0.0016666374,0.0055935476,0.05477616,0.023383556
0.019054605,0.0010858299,0.014030317,0.0052589215,0.057626627,0.023269376
0.025201712,0.0012560147,0.033418372,0.0051712245,0.06295549,0.023801116
0.037158977,0.0011282018,0.057592522,0.0051538777,0.06953084,0.02451872
0.055429146,0.0012126706,0.08765134,0.00511424,0.074044935,0.025058351
0.07817315,0.0014854923,0.12280145,0.0050121327,0.07698216,0.02563737
0.09141958,0.0015452973,0.15886015,0.005256461,0.07841167,0.026239976
0.12659292,0.0019410328,0.117092505,0.0036766224,0.07604792,0.025599191
0.12369823,0.0022061549,0.17801164,0.005617091,0.07933233,0.026442885
0.15117376,0.002491388,0.11393792,0.0042057023,0.07577492,0.02534437
0.21491712,0.0030688806,0.13125084,0.005450034,0.07810676,0.02546745
0.20795777,0.004081027,0.25879058,0.010005201,0.08176552,0.02718274
0.2926055,0.0042951102,0.24153398,0.009408558,0.081732586,0.026749475
0.32244152,0.0053069703,0.36869538,0.013276495,0.08537729,0.029394932
0.35214803,0.0060721585,0.4273705,0.014184953,0.08749897,0.030862195
0.38132998,0.0073870565,0.46536648,0.014478662,0.08832691,0.031943735
0.40926298,0.009217064,0.49251628,0.014602664,0.08893916,0.032635007
0.436358,0.010502376,0.51348615,0.014790315,0.0893137,0.033167135
0.462777,0.011851902,0.5321448,0.015143099,0.08986506,0.03366968
0.488628,0.014919976,0.54978484,0.01574579,0.09047985,0.034193847
0.51263577,0.0153788095,0.5677409,0.016675957,0.09085088,0.034846466
0.53483397,0.017064417,0.58779097,0.018080551,0.09080758,0.035822596
0.5550675,0.01851619,0.60551435,0.01951433,0.09090049,0.036879677
0.57474077,0.025533512,0.6206721,0.021115754,0.091003045,0.037928782
0.593206,0.024976626,0.635145,0.023507895,0.091126256,0.039098833
0.61081576,0.02854964,0.6491031,0.026685078,0.091709785,0.04047648
0.62783074,0.030636681,0.66237456,0.029762875,0.092678845,0.041900665
0.6439345,0.033824105,0.6769497,0.033654608,0.09387759,0.04348172
0.6594315,0.03686961,0.6905363,0.037787806,0.09511001,0.04502152
0.67284477,0.041853305,0.7030351,0.042134166,0.09615147,0.04648914
0.68530023,0.04280196,0.71415925,0.047229305,0.09700121,0.048178855
0.6963847,0.04831644,0.72414154,0.052121583,0.09756687,0.049834084
0.7060928,0.050959513,0.7334919,0.057556648,0.09809801,0.05170145
0.715231,0.064807706,0.74258506,0.0632858,0.09855615,0.05356701
0.72323596,0.06619189,0.751225,0.06996421,0.099050306,0.0557655
0.72971773,0.07120714,0.7585593,0.07608527,0.0995699,0.057676747
0.73513424,0.07447664,0.7649308,0.08257624,0.100058705,0.059738435
0.7392623,0.07998494,0.7703989,0.08921055,0.10058403,0.061796617
0.742616,0.09056212,0.77456737,0.09527507,0.10105922,0.06372332
0.74629796,0.095435776,0.77835494,0.10199162,0.10147732,0.065803036
0.7474993,0.102522,0.7817821,0.10878443,0.10189085,0.06783374
0.7472343,0.1051264,0.78312373,0.114667036,0.10220628,0.06956816
0.7456125,0.10747604,0.782742,0.12084076,0.10245048,0.07137536
0.74256825,0.119439155,0.7802498,0.12500577,0.10254107,0.07258757
0.74100876,0.12962556,0.7765825,0.12992015,0.1026409,0.07401618
0.7364905,0.13610043,0.77440953,0.1349849,0.10292777,0.07541818
0.73005223,0.13928327,0.77017736,0.13841915,0.10306591,0.076330975
0.722446,0.14119667,0.7639254,0.14243962,0.10317561,0.077278815
0.7126982,0.1552376,0.75636595,0.14532205,0.103181385,0.077954486
0.7024985,0.1562983,0.7469464,0.14922634,0.10315526,0.07875267
0.69108623,0.1536574,0.73700935,0.15216154,0.103084646,0.07931359
0.6787005,0.16185394,0.72603106,0.15304032,0.10283159,0.07950481
0.6656915,0.17199793,0.71449953,0.15588965,0.10280428,0.07992829
0.65085477,0.1722203,0.70272696,0.15830624,0.10267488,0.08023682
0.6350765,0.17200978,0.6898166,0.15905371,0.1022794,0.08026857
0.61817646,0.16554746,0.67599714,0.15876827,0.101772435,0.08012329
0.6000052,0.1748996,0.6612631,0.15790993,0.10114519,0.07989328
0.581153,0.16379513,0.6445547,0.1567619,0.10028454,0.07965068
